"UniqueCellID","Group","Poon_et_al_2022_nat_immunol_Human_Lung_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_Skin_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_jejunum_CD4_TRM","Zhang_2022_Gut_Human_Liver_HBV_infiltrating_CD4","Zheng_2017_Cell_Human_HCC_infiltrating_CD4","Argyriou_2022_Nat_Comm_Human_Synovial_tissues_TPH","Law_et_al_2024_Nature_Human_Synovial_tissues_TPH"
"huDistalExp1_plate6_BC40","huDistalExp1_plate6_BC40","H1N1",0.25841635654559,0.313171940569966,0.251277049823578,0.188386016196878,0.17838037501193,0.0388730050568393,-0.00402896879938863
"huDistalExp1_plate6_BC88","huDistalExp1_plate6_BC88","Auto-reactivity",0.28137300161852,0.187130145400578,0.275587864694602,0.292796432346083,0.31163474991407,0.2894349726572,0.264793062307851
"huDistalExp1_plate6_BC11","huDistalExp1_plate6_BC11","H1N1",-0.165121956643252,0.165351134448121,0.0174337791375718,0.275027967013474,0.0453871628037887,-0.070180545846717,-0.177708541828041
"huDistalExp1_plate6_BC83","huDistalExp1_plate6_BC83","H1N1",0.352340679910295,0.15241973090447,0.112294004942838,0.532529367456261,0.410234077296411,0.156398803360841,0.241205736502616
"huDistalExp1_plate6_BC13","huDistalExp1_plate6_BC13","H1N1",-0.105011973141097,-0.0141256550248371,-0.148161458437215,-0.254637781386361,-0.0861175990126217,-0.315237592983443,-0.25507364117719
"huDistalExp1_plate6_BC78","huDistalExp1_plate6_BC78","H1N1",0.362310792758736,0.184977727181823,0.0912499307495489,0.131318898974563,0.103963689485305,0.0725682300238556,0.0456688081177647
"huDistalExp1_plate6_BC41","huDistalExp1_plate6_BC41","H1N1",0.273476889297945,0.202531985066414,0.0312837249413551,0.157937957751053,0.0818039205134253,0.0309981752692128,0.181205823642969
"huDistalExp1_plate6_BC47","huDistalExp1_plate6_BC47","H1N1",0.449913857713346,0.120871429549824,0.212036450397395,0.256521139294191,0.121142309224885,0.0160782262693002,0.143187664285392
"huDistalExp1_plate6_BC6","huDistalExp1_plate6_BC6","H1N1",0.0399111781303615,0.137639076711971,-0.0147056041716923,0.0612040875656571,0.115970759445718,-0.266346778022386,0.0346541154268284
"huDistalExp1_plate6_BC39","huDistalExp1_plate6_BC39","H1N1",0.052208445150143,0.169082978452504,0.00962097576913951,-0.108969132992885,-0.0711772373964092,-0.0876116048397518,0.0624851413801153
